1 1.0013580322265625e-05
2 3.3855438232421875e-05
3 1.621246337890625e-05
4 2.002716064453125e-05
5 2.9802322387695312e-05
6 3.600120544433594e-05
7 6.604194641113281e-05
8 4.792213439941406e-05
9 5.1975250244140625e-05
10 5.817413330078125e-05
11 7.200241088867188e-05
12 0.000102996826171875
13 0.00021004676818847656
14 0.0004940032958984375
15 0.00139617919921875
16 0.003580808639526367
17 0.009206056594848633
18 0.024876832962036133
19 0.07719206809997559
20 0.22954010963439941
21 0.6716489791870117
22 2.2711129188537598
23 6.1764020919799805
24 18.492456912994385
25 58.00049018859863
26 167.12540006637573
27 509.6220028400421
28 1533.8216128349304
